compound,E_a,A_site,B_site,X_site,A_valence,EN_A,EN_B,EN_X,R_A,R_B,R_X,Polarizability_A,Polarizability_B,Polarizability_X,EA_A,EA_B,EA_X,a,b,c,d_AX,d_BX,k_64m,U,t_ratio,alpha,E_hull
NaY2O4,0.2221274400000084,Na,Y,O,1,0.93,1.22,3.44,0.99,0.9,1.4,162.7,162.0,5.3,0.547926,307,1.4611135,9.762452,9.762452,9.762452,2.416401,2.273808,0.940989,0.392906,1.0,99.0218,0.113443392
MgCo2O4,0.2214011899999945,Mg,Co,O,2,1.31,1.88,3.44,0.57,0.61,1.4,71.2,55.0,5.3,,0.66225646,1.4611135,8.152118,8.587833,8.587833,2.054085,1.97747,0.962701,0.390469,1.053448,95.8144,0.140187571
NaTm2S4,0.2205499699999791,Na,Tm,S,1,0.93,1.25,2.58,0.99,0.88,1.84,162.7,144.0,19.4,0.547926,1.029,2.07710403,11.377082,11.377082,11.377082,2.731238,2.703377,0.989799,0.388602,1.0,96.4641,0.166862176
LiNd2S4,0.220367949999968,Li,Nd,S,1,0.98,1.14,2.58,0.59,983,1.84,164.1125,208.0,19.4,0.618049,1.916,2.07710403,11.552594,11.552594,11.552594,2.587869,2.829723,1.093457,0.379331,1.0,92.2419,0.219066348
LiAl2Se4,0.2203644699999927,Li,Al,Se,1,0.98,1.61,2.55,0.59,535,1.98,164.1125,57.8,28.9,0.618049,0.43283,2.02067,10.678939,10.678939,10.678939,2.500023,2.575074,1.03002,0.385162,1.0,94.5203,0.092805759
LiTi2S4,0.2170990100000267,Li,Ti,S,1,0.98,1.54,2.58,0.59,0.67,1.84,164.1125,87.0,19.4,0.618049,79,2.07710403,10.171168,10.171168,10.171168,2.360975,2.463132,1.043269,0.384017,1.0,93.9751,0.03484295
NaEr2S4,0.2130902899999682,Na,Er,S,1,0.93,1.24,2.58,0.99,0.89,1.84,162.7,150.0,19.4,0.547926,,2.07710403,11.415981,11.415981,11.415981,2.73712,2.714246,0.991643,0.388427,1.0,96.365,0.167851945
LiIn2Se4,0.2128937800000017,Li,In,Se,1,0.98,1.78,2.55,0.59,0.8,1.98,164.1125,65.0,28.9,0.618049,0.3,2.02067,11.311073,11.311073,11.311073,2.548003,2.777246,1.08997,0.380058,1.0,92.2545,0.092571795
LiCr2S4,0.2124370699999644,Li,Cr,S,1,0.98,1.66,2.58,0.59,615,1.84,164.1125,83.0,19.4,0.618049,0.6659999999999999,2.07710403,9.969492,9.969492,9.969492,2.356298,2.394623,1.016265,0.386457,1.0,95.2531,0.009959536
LiFe2Se4,0.2118518899999912,Li,Fe,Se,1,0.98,1.83,2.55,0.59,645,1.98,164.1125,62.0,28.9,0.618049,151,2.02067,10.26352,10.26352,10.26352,2.430256,2.446258,1.006585,0.386708,1.0,96.6562,0.149602988
LiAl2S4,0.2113697700000045,Li,Al,S,1,0.98,1.61,2.58,0.59,535,1.84,164.1125,57.8,19.4,0.618049,0.43283,2.07710403,10.089194,10.089194,10.089194,2.377166,2.422782,1.019189,0.386032,1.0,95.0083,0.12946449
LiSc2Se4,0.2053465299999857,Li,Sc,Se,1,0.98,1.36,2.55,0.59,745,1.98,164.1125,97.0,28.9,0.618049,188,2.02067,11.114824,11.114824,11.114824,2.539435,2.709206,1.066854,0.381909,1.0,93.0531,0.02915295
MgTi2S4,0.2051823799999965,Mg,Ti,S,2,1.31,1.54,2.58,0.57,0.67,1.84,71.2,87.0,19.4,,79,2.07710403,10.523011,10.523011,10.523011,2.459289,2.528379,1.028094,0.38493,1.0,94.9007,0.089772519
LiCo2O4,0.2038937599999712,Li,Co,O,1,0.98,1.88,3.44,0.59,0.61,1.4,164.1125,55.0,5.3,0.618049,0.66225646,1.4611135,8.327178,8.252028,8.252028,2.026391,1.933501,0.95416,0.391347,0.990975,96.3749,0.165900443
LiCr2Se4,0.2007221900000217,Li,Cr,Se,1,0.98,1.66,2.55,0.59,615,1.98,164.1125,83.0,28.9,0.618049,0.6659999999999999,2.02067,10.525428,10.525428,10.525428,2.471963,2.533184,1.024766,0.385594,1.0,94.8986,-0.044115291
LiLa2S4,0.199995030000025,Li,La,S,1,0.98,1.1,2.58,0.59,1.032,1.84,164.1125,215.0,19.4,0.618049,0.47,2.07710403,11.790585,11.790585,11.790585,2.646801,2.876614,1.086826,0.379606,1.0,92.6509,0.270114302
LiLa2Se4,0.1937176300000374,Li,La,Se,1,0.98,1.1,2.55,0.59,1.032,1.98,164.1125,215.0,28.9,0.618049,0.47,2.02067,12.227751,12.227751,12.227751,2.717712,3.005666,1.105955,0.378321,1.0,91.8311,0.223232386
NaY2S4,0.191445549999969,Na,Y,S,1,0.93,1.22,2.58,0.99,0.9,1.84,162.7,162.0,19.4,0.547926,307,2.07710403,11.505816,11.505816,11.505816,2.753018,2.737532,0.994375,0.388144,1.0,96.2349,0.153749846
LiSc2S4,0.189689009999995,Li,Sc,S,1,0.98,1.36,2.58,0.59,745,1.84,164.1125,97.0,19.4,0.618049,188,2.07710403,10.610192,10.610192,10.610192,2.435943,2.576152,1.057558,0.382551,1.0,93.4774,0.119835499
LiZr2Se4,0.1875105000000303,Li,Zr,Se,1,0.98,1.33,2.55,0.59,0.72,1.98,164.1125,112.0,28.9,0.618049,426,2.02067,11.122073,11.122073,11.122073,2.521525,2.726097,1.08113,0.380893,1.0,92.4656,-0.001188127
NaNd2Se4,0.1824548299999833,Na,Nd,Se,1,0.93,1.14,2.55,0.99,983,1.98,162.7,208.0,28.9,0.547926,1.916,2.02067,12.342376,12.342376,12.342376,2.89857,2.962105,1.021919,0.385589,1.0,95.063,0.183196847
LiTm2S4,0.1747861800000123,Li,Tm,S,1,0.98,1.25,2.58,0.59,0.88,1.84,164.1125,144.0,19.4,0.618049,1.029,2.07710403,11.033633,11.033633,11.033633,2.501563,2.691528,1.075939,0.380898,1.0,92.8276,0.106628963
LiEr2S4,0.1728679199999874,Li,Er,S,1,0.98,1.24,2.58,0.59,0.89,1.84,164.1125,150.0,19.4,0.618049,,2.07710403,11.082854,11.082854,11.082854,2.51142,2.703912,1.076647,0.38083,1.0,92.8221,0.145142949
LiZr2S4,0.1717830599999956,Li,Zr,S,1,0.98,1.33,2.58,0.59,0.72,1.84,164.1125,112.0,19.4,0.618049,426,2.07710403,10.630786,10.630786,10.630786,2.426221,2.592176,1.068401,0.381766,1.0,93.0361,-0.022825378
LiTm2Se4,0.1715306500000224,Li,Tm,Se,1,0.98,1.25,2.55,0.59,0.88,1.98,164.1125,144.0,28.9,0.618049,1.029,2.02067,11.513194,11.513194,11.513194,2.592892,2.822802,1.088669,0.380025,1.0,92.2799,0.048230863
LiY2S4,0.1704045799999676,Li,Y,S,1,0.98,1.22,2.58,0.59,0.9,1.84,164.1125,162.0,19.4,0.618049,307,2.07710403,11.162871,11.162871,11.162871,2.519943,2.727159,1.08223,0.380333,1.0,92.5923,0.129219411
LiEr2Se4,0.1691710299999727,Li,Er,Se,1,0.98,1.24,2.55,0.59,0.89,1.98,164.1125,150.0,28.9,0.618049,,2.02067,11.550449,11.550449,11.550449,2.59558,2.833806,1.091781,0.37974,1.0,92.1862,0.078986534
LiY2Se4,0.1622302899999681,Li,Y,Se,1,0.98,1.22,2.55,0.59,0.9,1.98,164.1125,162.0,28.9,0.618049,307,2.02067,11.638665,11.638665,11.638665,2.609467,2.858049,1.095262,0.379446,1.0,92.0842,0.074406199
LiNd2Se4,0.1447784499999898,Li,Nd,Se,1,0.98,1.14,2.55,0.59,983,1.98,164.1125,208.0,28.9,0.618049,1.916,2.02067,11.994449,11.994449,11.994449,2.665238,2.955854,1.10904,0.378291,1.0,91.584,0.166741049
NaLa2S4,0.129212319999965,Na,La,S,1,0.93,1.1,2.58,0.99,1.032,1.84,162.7,215.0,19.4,0.547926,0.47,2.07710403,12.087306,12.087306,12.087306,2.86439,2.879162,1.005157,0.386818,1.0,95.8742,0.238846381
NaLa2O4,0.1275980600000252,Na,La,O,1,0.93,1.1,3.44,0.99,1.032,1.4,162.7,215.0,5.3,0.547926,0.47,1.4611135,10.335355,10.335355,10.335355,2.529229,2.411209,0.953338,0.391287,1.0,98.469,0.176086248
NaLa2Se4,0.1270714800000405,Na,La,Se,1,0.93,1.1,2.55,0.99,1.032,1.98,162.7,215.0,28.9,0.547926,0.47,2.02067,12.566528,12.566528,12.566528,2.967696,3.007406,1.01338,0.386346,1.0,95.3878,0.212080162
